_id,FSA,BEV,PHEV,TotalEV
311,M4X,28,8,36
312,M4Y,67,26,93
313,M5A,171,54,225
314,M5B,31,17,48
315,M5C,16,7,23
316,M5E,64,15,79
317,M5G,42,32,74
318,M5H,61,20,81
319,M5J,74,31,105
320,M5K,4,1,5
321,M5L,4,,4
322,M5M,237,101,338
323,M5N,115,50,165
324,M5P,169,63,232
325,M5R,165,57,222
326,M5S,50,29,79
327,M5T,33,21,54
328,M5V,277,64,341
329,M5X,2,2,4
330,M6A,41,20,61
331,M6B,79,34,113
332,M6C,119,43,162
333,M6E,63,28,91
334,M6G,94,53,147
335,M6H,82,48,130
336,M6J,123,40,163
337,M6K,113,41,154
338,M6L,25,10,35
339,M6M,32,27,59
340,M6N,50,38,88
341,M6P,93,80,173
342,M6R,82,62,144
343,M6S,181,103,284
344,M6Y,1,,1
345,M7J,1,,1
346,M8V,169,73,242
347,M8W,90,38,128
348,M8X,112,41,153
349,M8Y,132,48,180
350,M8Z,156,102,258
351,M9A,193,102,295
352,M9B,167,71,238
353,M9C,106,49,155
354,M9L,27,18,45
355,M9M,31,8,39
356,M9N,33,22,55
357,M9P,40,14,54
358,M9R,48,18,66
359,M9V,59,38,97
360,M9W,100,39,139
361,N0A,63,43,106
362,N0B,429,239,668
363,N0C,38,18,56
364,N0E,55,48,103
365,N0G,128,92,220
366,N0H,149,108,257
367,N0J,60,40,100
368,N0K,21,19,40
369,N0L,128,96,224
370,N0M,112,89,201
371,N0N,48,47,95
372,N0P,67,56,123
373,N0R,106,110,216
374,N1A,23,11,34
375,N1C,11,17,28
376,N1E,138,92,230
377,N1G,119,78,197
378,N1H,129,91,220
379,N1K,31,21,52
380,N1L,105,58,163
381,N1M,49,34,83
382,N1P,20,11,31
383,N1R,91,68,159
384,N1S,67,35,102
385,N1T,82,37,119
386,N2A,111,53,164
387,N2B,54,26,80
388,N2C,33,21,54
389,N2E,89,42,131
390,N2G,62,25,87
391,N2H,95,47,142
392,N2J,89,33,122
393,N2K,198,90,288
394,N2L,159,85,244
395,N2M,91,52,143
396,N2N,52,54,106
397,N2P,136,61,197
398,N2R,96,41,137
399,N2S,1,,1
400,N2T,116,64,180
401,N2V,106,72,178
402,N2Z,39,30,69
403,N3A,77,59,136
404,N3B,38,15,53
405,N3C,109,67,176
406,N3E,17,6,23
407,N3G,1,,1
408,N3H,68,34,102
409,N3L,61,40,101
410,N3P,14,16,30
411,N3R,65,59,124
412,N3S,33,27,60
413,N3T,116,67,183
414,N3V,6,2,8
415,N3W,42,29,71
416,N3Y,33,26,59
417,N4B,7,6,13
418,N4G,34,34,68
419,N4K,66,65,131
420,N4L,15,14,29
421,N4N,20,13,33
422,N4S,60,48,108
423,N4T,47,28,75
424,N4V,9,4,13
425,N4W,14,10,24
426,N4X,19,26,45
427,N4Z,4,9,13
428,N5A,77,57,134
429,N5C,30,20,50
430,N5H,17,17,34
431,N5L,11,9,20
432,N5N,1,,1
433,N5P,29,31,60
434,N5R,35,51,86
435,N5V,24,32,56
436,N5W,25,26,51
437,N5X,95,68,163
438,N5Y,28,28,56
439,N5Z,19,35,54
440,N6A,44,31,75
441,N6B,12,26,38
442,N6C,66,54,120
443,N6E,11,52,63
444,N6G,143,118,261
445,N6H,96,72,168
446,N6J,29,33,62
447,N6K,112,97,209
448,N6L,17,12,29
449,N6M,16,16,32
450,N6N,1,,1
451,N6P,43,37,80
452,N6V,1,,1
453,N7A,30,25,55
454,N7G,30,24,54
455,N7L,31,24,55
456,N7M,37,33,70
457,N7S,30,33,63
458,N7T,17,16,33
459,N7V,14,7,21
460,N7W,3,5,8
461,N7X,7,3,10
462,N8A,7,7,14
463,N8H,29,29,58
464,N8M,12,23,35
465,N8N,73,46,119
466,N8P,25,35,60
467,N8R,11,20,31
468,N8S,18,23,41
469,N8T,10,14,24
470,N8V,1,,1
471,N8W,25,33,58
472,N8X,23,20,43
473,N8Y,22,15,37
474,N9A,12,24,36
475,N9B,16,16,32
476,N9C,6,13,19
477,N9E,35,38,73
478,N9G,31,37,68
479,N9H,37,37,74
480,N9J,58,42,100
481,N9K,7,7,14
482,N9T,1,,1
483,N9V,36,43,79
484,N9Y,34,27,61
485,P0A,29,16,45
486,P0B,39,13,52
487,P0C,13,9,22
488,P0E,5,6,11
489,P0G,4,4,8
490,P0H,25,37,62
491,P0J,14,17,31
492,P0K,3,7,10
493,P0L,9,16,25
494,P0M,31,54,85
495,P0N,1,2,3
496,P0P,8,14,22
497,P0R,5,5,10
498,P0S,9,2,11
499,P0T,16,34,50
500,P0V,2,7,9
501,P0W,1,1,2
502,P0X,8,6,14
503,P1A,10,13,23
504,P1B,29,47,76
505,P1C,14,5,19
506,P1H,43,21,64
507,P1L,34,27,61
508,P1P,17,10,27
509,P2A,32,12,44
510,P2B,9,10,19
511,P2N,,4,4
512,P3A,25,28,53
513,P3B,15,18,33
514,P3C,8,14,22
515,P3E,65,69,134
516,P3G,21,16,37
517,P3L,5,6,11
518,P3N,3,10,13
519,P3P,29,20,49
520,P3Y,8,9,17
521,P4N,10,18,28
522,P4P,2,,2
523,P4R,4,3,7
524,P5A,1,2,3
525,P5E,4,3,7
526,P5N,4,8,12
527,P6A,17,27,44
528,P6B,18,8,26
529,P6C,4,4,8
530,P7A,19,32,51
531,P7B,21,26,47
532,P7C,11,12,23
533,P7E,6,14,20
534,P7G,20,20,40
535,P7J,6,5,11
536,P7K,4,5,9
537,P7L,,3,3
538,P8N,2,7,9
539,P8T,3,5,8
540,P9A,1,5,6
541,P9N,11,5,16
