_id,FSA,BEV,PHEV,TotalEV
392,N2A,169,69,238
393,N2B,76,32,108
394,N2C,59,20,79
395,N2E,118,51,169
396,N2G,78,29,107
397,N2H,124,60,184
398,N2J,125,44,169
399,N2K,255,100,355
400,N2L,208,84,292
401,N2M,127,59,186
402,N2N,88,65,153
403,N2P,214,75,289
404,N2R,148,42,190
405,N2S,1,,1
406,N2T,165,75,240
407,N2V,152,76,228
408,N2Y,1,,1
409,N2Z,59,34,93
410,N3A,126,70,196
411,N3B,54,25,79
412,N3C,169,80,249
413,N3E,30,7,37
414,N3G,1,,1
415,N3H,98,36,134
416,N3K,1,,1
417,N3L,88,58,146
418,N3M,1,,1
419,N3P,16,17,33
420,N3R,93,56,149
421,N3S,66,33,99
422,N3T,177,91,268
423,N3V,10,3,13
424,N3W,80,26,106
425,N3Y,53,29,82
426,N4B,13,7,20
427,N4G,62,39,101
428,N4K,93,67,160
429,N4L,22,18,40
430,N4N,29,12,41
431,N4S,95,53,148
432,N4T,63,32,95
433,N4V,14,5,19
434,N4W,37,18,55
435,N4X,32,29,61
436,N4Z,8,9,17
437,N5A,107,71,178
438,N5C,52,18,70
439,N5H,24,16,40
440,N5L,15,9,24
441,N5N,1,,1
442,N5P,48,34,82
443,N5R,64,53,117
444,N5V,47,34,81
445,N5W,40,26,66
446,N5X,156,83,239
447,N5Y,33,31,64
448,N5Z,30,37,67
449,N6A,58,34,92
450,N6B,21,24,45
451,N6C,89,69,158
452,N6E,22,56,78
453,N6G,206,143,349
454,N6H,135,74,209
455,N6J,47,33,80
456,N6K,172,127,299
457,N6L,27,15,42
458,N6M,32,12,44
459,N6N,7,,7
460,N6P,73,45,118
461,N7A,41,32,73
462,N7G,50,29,79
463,N7L,42,24,66
464,N7M,55,31,86
465,N7S,46,37,83
466,N7T,29,20,49
467,N7V,22,10,32
468,N7W,8,6,14
469,N7X,13,5,18
470,N8A,15,10,25
471,N8H,38,39,77
472,N8M,25,26,51
473,N8N,102,58,160
474,N8P,44,38,82
475,N8R,16,21,37
476,N8S,31,33,64
477,N8T,14,16,30
478,N8W,41,34,75
479,N8X,32,18,50
480,N8Y,29,19,48
481,N9A,20,35,55
482,N9B,25,16,41
483,N9C,9,14,23
484,N9E,49,38,87
485,N9G,53,36,89
486,N9H,61,46,107
487,N9J,85,54,139
488,N9K,17,8,25
489,N9T,1,,1
490,N9V,58,45,103
491,N9Y,58,34,92
492,P0A,37,18,55
493,P0B,47,18,65
494,P0C,30,12,42
495,P0E,11,10,21
496,P0G,4,7,11
497,P0H,54,48,102
498,P0J,23,18,41
499,P0K,5,5,10
500,P0L,13,19,32
501,P0M,60,74,134
502,P0N,3,5,8
503,P0P,18,21,39
504,P0R,10,6,16
505,P0S,14,3,17
506,P0T,25,30,55
507,P0V,5,7,12
508,P0W,3,1,4
509,P0X,11,8,19
510,P1A,17,14,31
511,P1B,47,49,96
512,P1C,18,9,27
513,P1H,63,29,92
514,P1L,58,35,93
515,P1P,32,16,48
516,P2A,46,13,59
517,P2B,12,12,24
518,P2N,1,3,4
519,P3A,41,31,72
520,P3B,28,23,51
521,P3C,15,19,34
522,P3E,105,68,173
523,P3G,28,22,50
524,P3L,5,8,13
525,P3N,8,11,19
526,P3P,41,42,83
527,P3S,1,,1
528,P3Y,14,11,25
529,P4N,13,18,31
530,P4P,2,2,4
531,P4R,6,8,14
532,P5A,2,4,6
533,P5E,3,5,8
534,P5N,9,11,20
535,P6A,34,33,67
536,P6B,27,11,38
537,P6C,9,4,13
538,P7A,27,37,64
539,P7B,32,31,63
540,P7C,19,15,34
541,P7E,10,21,31
542,P7G,27,24,51
543,P7J,9,6,15
544,P7K,7,6,13
545,P7L,3,2,5
546,P8N,7,8,15
547,P8T,4,6,10
548,P9A,4,6,10
549,P9N,18,8,26
