_id,FSA,BEV,PHEV,TotalEV
1,K0A,622,306,928
2,K0B,66,52,118
3,K0C,142,92,234
4,K0E,97,65,162
5,K0G,176,96,272
6,K0H,171,112,283
7,K0J,67,59,126
8,K0K,344,195,539
9,K0L,190,104,294
10,K0M,125,50,175
11,K1A,23,54,77
12,K1B,63,47,110
13,K1C,158,131,289
14,K1E,49,27,76
15,K1G,116,102,218
16,K1H,97,83,180
17,K1J,122,98,220
18,K1K,118,93,211
19,K1L,37,47,84
20,K1M,67,53,120
21,K1N,78,63,141
22,K1P,18,14,32
23,K1R,63,34,97
24,K1S,251,188,439
25,K1T,171,85,256
26,K1V,229,168,397
27,K1W,97,44,141
28,K1X,42,7,49
29,K1Y,171,87,258
30,K1Z,107,64,171
31,K2A,168,75,243
32,K2B,90,75,165
33,K2C,120,75,195
34,K2E,93,54,147
35,K2G,234,128,362
36,K2H,127,90,217
37,K2J,430,214,644
38,K2K,194,104,298
39,K2L,66,50,116
40,K2M,186,104,290
41,K2P,75,37,112
42,K2R,15,9,24
43,K2S,285,144,429
44,K2T,93,45,138
45,K2V,95,34,129
46,K2W,88,27,115
47,K4A,304,171,475
48,K4B,35,25,60
49,K4C,54,20,74
50,K4K,112,53,165
51,K4M,204,63,267
52,K4P,107,43,150
53,K4R,43,34,77
54,K5M,1,,1
55,K6A,40,24,64
56,K6H,59,43,102
57,K6J,21,21,42
58,K6K,4,3,7
59,K6T,2,,2
60,K6V,54,46,100
61,K7A,30,19,49
62,K7C,82,42,124
63,K7G,26,13,39
64,K7H,74,46,120
65,K7K,101,57,158
66,K7L,136,95,231
67,K7M,158,106,264
68,K7N,22,12,34
69,K7P,115,52,167
70,K7R,34,20,54
71,K7S,45,14,59
72,K7V,26,14,40
73,K8A,36,28,64
74,K8H,42,34,76
75,K8J,1,,1
76,K8K,,1,1
77,K8N,80,49,129
78,K8P,29,33,62
79,K8R,9,6,15
80,K8V,65,53,118
81,K9A,105,70,175
82,K9H,63,48,111
83,K9J,120,80,200
84,K9K,50,22,72
85,K9L,26,19,45
86,K9V,50,25,75
87,L0A,90,33,123
88,L0B,75,39,114
89,L0C,48,16,64
90,L0E,63,39,102
91,L0G,318,90,408
92,L0H,10,6,16
93,L0J,82,15,97
94,L0K,163,63,226
95,L0L,287,87,374
96,L0M,161,53,214
97,L0N,15,6,21
98,L0P,121,28,149
99,L0R,482,233,715
100,L0S,366,193,559
101,L0T,1,,1
102,L1A,58,33,91
103,L1B,56,30,86
104,L1C,226,90,316
105,L1E,103,51,154
106,L1G,99,60,159
107,L1H,132,43,175
108,L1J,101,61,162
109,L1K,209,70,279
110,L1L,108,28,136
111,L1M,148,56,204
112,L1N,242,117,359
113,L1P,196,61,257
114,L1R,233,67,300
115,L1S,227,92,319
116,L1T,309,91,400
117,L1V,331,111,442
118,L1W,112,39,151
119,L1X,185,45,230
120,L1Y,27,11,38
121,L1Z,241,93,334
122,L2A,51,27,78
123,L2E,42,25,67
124,L2G,96,52,148
125,L2H,127,57,184
126,L2J,51,22,73
127,L2M,54,43,97
128,L2N,119,63,182
129,L2P,45,20,65
130,L2R,114,124,238
131,L2S,71,43,114
132,L2T,35,20,55
133,L2V,77,21,98
134,L2W,10,4,14
135,L2Y,,1,1
136,L3A,1,,1
137,L3B,66,26,92
138,L3C,85,48,133
139,L3E,1,,1
140,L3J,31,30,61
141,L3K,44,24,68
142,L3L,7,,7
143,L3M,232,128,360
144,L3N,1,,1
145,L3P,334,111,445
146,L3R,722,212,934
147,L3S,289,78,367
148,L3T,446,142,588
149,L3V,143,87,230
150,L3X,442,130,572
151,L3Y,262,144,406
152,L3Z,317,77,394
153,L4A,594,165,759
154,L4B,675,161,836
155,L4C,682,188,870
156,L4E,692,188,880
157,L4G,738,232,970
158,L4H,804,175,979
159,L4J,642,196,838
160,L4K,361,79,440
161,L4L,394,100,494
162,L4M,198,77,275
163,L4N,480,153,633
164,L4P,155,58,213
165,L4R,47,23,70
166,L4S,440,129,569
167,L4T,99,40,139
168,L4V,34,13,47
169,L4W,290,91,381
170,L4X,64,16,80
171,L4Y,106,44,150
172,L4Z,201,88,289
173,L5A,109,33,142
174,L5B,279,121,400
175,L5C,170,63,233
176,L5E,83,29,112
177,L5G,210,90,300
178,L5H,281,84,365
179,L5J,191,82,273
180,L5K,95,34,129
181,L5L,300,118,418
182,L5M,816,234,1050
183,L5N,484,183,667
184,L5P,3,8,11
185,L5R,275,82,357
186,L5S,49,10,59
187,L5T,77,24,101
188,L5V,318,78,396
189,L5W,226,44,270
190,L5X,1,,1
191,L6A,847,172,1019
192,L6B,440,76,516
193,L6C,899,230,1129
194,L6E,374,106,480
195,L6G,79,20,99
196,L6H,936,342,1278
197,L6J,500,185,685
198,L6K,183,115,298
199,L6L,456,151,607
200,L6M,934,293,1227
201,L6N,1,,1
202,L6P,828,135,963
203,L6R,483,117,600
204,L6S,193,96,289
205,L6T,134,98,232
206,L6V,132,54,186
207,L6W,97,40,137
208,L6X,477,107,584
209,L6Y,668,146,814
210,L6Z,137,63,200
211,L7A,557,152,709
212,L7B,356,66,422
213,L7C,466,109,575
214,L7E,280,87,367
215,L7G,369,152,521
216,L7H,2,,2
217,L7J,93,43,136
218,L7K,92,24,116
219,L7L,425,207,632
220,L7M,473,190,663
221,L7N,131,56,187
222,L7P,245,108,353
223,L7R,144,97,241
224,L7S,69,44,113
225,L7T,142,76,218
226,L8B,208,90,298
227,L8E,236,107,343
228,L8G,92,39,131
229,L8H,48,31,79
230,L8J,167,63,230
231,L8K,65,51,116
232,L8L,60,31,91
233,L8M,31,33,64
234,L8N,39,22,61
235,L8P,81,76,157
236,L8R,24,15,39
237,L8S,51,35,86
238,L8T,38,31,69
239,L8V,29,31,60
240,L8W,84,40,124
241,L9A,77,37,114
242,L9B,105,67,172
243,L9C,154,94,248
244,L9E,242,33,275
245,L9G,241,122,363
246,L9H,268,159,427
247,L9J,26,5,31
248,L9K,191,58,249
249,L9L,79,26,105
250,L9M,45,28,73
251,L9N,259,62,321
252,L9P,120,66,186
253,L9R,131,39,170
254,L9S,226,68,294
255,L9T,872,251,1123
256,L9V,77,43,120
257,L9W,276,114,390
258,L9X,113,39,152
259,L9Y,186,78,264
260,L9Z,91,37,128
261,M1B,232,117,349
262,M1C,240,82,322
263,M1E,121,72,193
264,M1G,51,25,76
265,M1H,86,36,122
266,M1J,56,21,77
267,M1K,74,29,103
268,M1L,79,32,111
269,M1M,108,44,152
270,M1N,99,59,158
271,M1P,115,32,147
272,M1R,83,36,119
273,M1S,141,53,194
274,M1T,86,39,125
275,M1V,149,49,198
276,M1W,125,50,175
277,M1X,91,20,111
278,M2B,1,,1
279,M2H,120,44,164
280,M2J,313,112,425
281,M2K,176,60,236
282,M2L,191,61,252
283,M2M,183,63,246
284,M2N,517,214,731
285,M2P,134,28,162
286,M2R,106,62,168
287,M3A,323,47,370
288,M3B,257,66,323
289,M3C,151,38,189
290,M3H,207,73,280
291,M3J,111,37,148
292,M3K,45,12,57
293,M3L,39,6,45
294,M3M,28,13,41
295,M3N,38,11,49
296,M3R,,1,1
297,M4A,33,15,48
298,M4B,79,28,107
299,M4C,120,78,198
300,M4E,162,93,255
301,M4G,258,88,346
302,M4H,20,8,28
303,M4J,140,70,210
304,M4K,140,75,215
305,M4L,176,93,269
306,M4M,153,82,235
307,M4N,271,84,355
308,M4P,133,43,176
309,M4R,126,57,183
310,M4S,224,43,267
311,M4T,122,43,165
312,M4V,200,62,262
313,M4W,210,73,283
314,M4X,35,7,42
315,M4Y,102,30,132
316,M5A,218,67,285
317,M5B,38,14,52
318,M5C,37,10,47
319,M5E,75,20,95
320,M5G,61,46,107
321,M5H,87,20,107
322,M5J,108,34,142
323,M5K,6,1,7
324,M5L,4,,4
325,M5M,328,125,453
326,M5N,143,61,204
327,M5P,233,77,310
328,M5R,236,75,311
329,M5S,73,32,105
330,M5T,61,23,84
331,M5V,420,81,501
332,M5W,1,,1
333,M5X,4,2,6
334,M6A,59,24,83
335,M6B,125,46,171
336,M6C,177,60,237
337,M6E,87,28,115
338,M6G,140,67,207
339,M6H,116,54,170
340,M6J,162,52,214
341,M6K,154,48,202
342,M6L,33,16,49
343,M6M,54,31,85
344,M6N,65,44,109
345,M6P,136,88,224
346,M6R,107,73,180
347,M6S,263,134,397
348,M6Y,1,,1
349,M6Z,1,,1
350,M8A,1,,1
351,M8B,3,,3
352,M8V,263,79,342
353,M8W,139,44,183
354,M8X,147,55,202
355,M8Y,181,57,238
356,M8Z,276,121,397
357,M9A,277,117,394
358,M9B,230,76,306
359,M9C,146,69,215
360,M9L,54,16,70
361,M9M,50,11,61
362,M9N,66,29,95
363,M9P,68,21,89
364,M9R,64,27,91
365,M9V,120,40,160
366,M9W,813,52,865
367,N0A,98,58,156
368,N0B,653,294,947
369,N0C,66,27,93
370,N0E,91,56,147
371,N0G,189,106,295
372,N0H,247,130,377
373,N0J,90,60,150
374,N0K,34,31,65
375,N0L,195,106,301
376,N0M,207,109,316
377,N0N,77,61,138
378,N0P,93,61,154
379,N0R,180,154,334
380,N1A,29,11,40
381,N1C,18,22,40
382,N1E,198,107,305
383,N1G,182,86,268
384,N1H,189,97,286
385,N1K,52,20,72
386,N1L,169,66,235
387,N1M,69,46,115
388,N1P,32,16,48
389,N1R,135,62,197
390,N1S,105,44,149
391,N1T,107,37,144
