_id,FSA,BEV,PHEV,TotalEV
1,K0A,573,298,871
2,K0B,57,50,107
3,K0C,129,86,215
4,K0E,91,64,155
5,K0G,164,90,254
6,K0H,158,109,267
7,K0J,58,54,112
8,K0K,311,194,505
9,K0L,163,99,262
10,K0M,101,48,149
11,K1A,23,51,74
12,K1B,62,48,110
13,K1C,155,120,275
14,K1E,47,30,77
15,K1G,104,102,206
16,K1H,90,79,169
17,K1J,111,93,204
18,K1K,115,92,207
19,K1L,36,49,85
20,K1M,69,53,122
21,K1N,66,63,129
22,K1P,17,15,32
23,K1R,62,34,96
24,K1S,229,177,406
25,K1T,171,75,246
26,K1V,208,158,366
27,K1W,92,43,135
28,K1X,33,8,41
29,K1Y,164,81,245
30,K1Z,105,60,165
31,K2A,149,70,219
32,K2B,92,67,159
33,K2C,116,69,185
34,K2E,82,54,136
35,K2G,212,118,330
36,K2H,118,84,202
37,K2J,379,212,591
38,K2K,181,98,279
39,K2L,64,51,115
40,K2M,172,99,271
41,K2P,65,36,101
42,K2R,14,8,22
43,K2S,259,138,397
44,K2T,88,42,130
45,K2V,85,34,119
46,K2W,82,24,106
47,K4A,296,163,459
48,K4B,29,24,53
49,K4C,48,21,69
50,K4K,98,47,145
51,K4M,190,60,250
52,K4P,99,42,141
53,K4R,37,34,71
54,K5M,1,,1
55,K6A,32,21,53
56,K6H,53,39,92
57,K6J,19,20,39
58,K6K,4,4,8
59,K6T,2,,2
60,K6V,54,45,99
61,K7A,29,19,48
62,K7C,73,40,113
63,K7G,25,12,37
64,K7H,68,46,114
65,K7K,83,52,135
66,K7L,123,91,214
67,K7M,145,103,248
68,K7N,21,9,30
69,K7P,105,48,153
70,K7R,32,20,52
71,K7S,46,19,65
72,K7V,24,12,36
73,K8A,35,26,61
74,K8B,,1,1
75,K8H,38,32,70
76,K8J,1,,1
77,K8N,79,48,127
78,K8P,27,31,58
79,K8R,9,6,15
80,K8V,57,51,108
81,K9A,99,66,165
82,K9H,60,46,106
83,K9J,108,81,189
84,K9K,40,19,59
85,K9L,21,20,41
86,K9V,44,27,71
87,L0A,74,32,106
88,L0B,68,42,110
89,L0C,38,16,54
90,L0E,55,35,90
91,L0G,275,98,373
92,L0H,10,7,17
93,L0J,74,14,88
94,L0K,142,60,202
95,L0L,255,78,333
96,L0M,145,47,192
97,L0N,15,6,21
98,L0P,112,28,140
99,L0R,435,235,670
100,L0S,314,178,492
101,L0T,1,,1
102,L1A,56,35,91
103,L1B,49,28,77
104,L1C,198,83,281
105,L1E,89,51,140
106,L1G,86,60,146
107,L1H,126,43,169
108,L1J,83,61,144
109,L1K,186,61,247
110,L1L,85,25,110
111,L1M,127,50,177
112,L1N,216,111,327
113,L1P,173,61,234
114,L1R,208,62,270
115,L1S,190,91,281
116,L1T,271,90,361
117,L1V,286,103,389
118,L1W,105,38,143
119,L1X,167,39,206
120,L1Y,22,9,31
121,L1Z,201,96,297
122,L2A,49,27,76
123,L2E,36,24,60
124,L2G,83,45,128
125,L2H,115,54,169
126,L2J,39,23,62
127,L2L,,1,1
128,L2M,53,44,97
129,L2N,104,55,159
130,L2P,38,21,59
131,L2R,96,124,220
132,L2S,65,43,108
133,L2T,32,22,54
134,L2V,66,20,86
135,L2W,8,4,12
136,L2Y,,1,1
137,L3A,1,,1
138,L3B,58,26,84
139,L3C,76,48,124
140,L3E,1,,1
141,L3J,20,23,43
142,L3K,39,24,63
143,L3L,4,,4
144,L3M,210,129,339
145,L3N,1,,1
146,L3P,289,107,396
147,L3R,613,209,822
148,L3S,244,79,323
149,L3T,393,134,527
150,L3V,130,81,211
151,L3X,393,119,512
152,L3Y,243,143,386
153,L3Z,272,74,346
154,L4A,523,158,681
155,L4B,585,149,734
156,L4C,594,186,780
157,L4E,613,184,797
158,L4G,615,228,843
159,L4H,685,162,847
160,L4J,559,190,749
161,L4K,302,82,384
162,L4L,353,96,449
163,L4M,177,74,251
164,L4N,420,148,568
165,L4P,139,55,194
166,L4R,42,23,65
167,L4S,387,125,512
168,L4T,83,40,123
169,L4V,24,11,35
170,L4W,242,80,322
171,L4X,58,15,73
172,L4Y,76,41,117
173,L4Z,176,85,261
174,L5A,99,32,131
175,L5B,255,116,371
176,L5C,146,69,215
177,L5E,80,28,108
178,L5G,187,86,273
179,L5H,247,82,329
180,L5J,173,80,253
181,L5K,85,31,116
182,L5L,265,117,382
183,L5M,717,237,954
184,L5N,417,174,591
185,L5P,3,8,11
186,L5R,244,80,324
187,L5S,42,8,50
188,L5T,101,26,127
189,L5V,255,70,325
190,L5W,207,44,251
191,L5X,1,,1
192,L6A,728,167,895
193,L6B,364,72,436
194,L6C,755,212,967
195,L6E,314,96,410
196,L6G,65,20,85
197,L6H,816,334,1150
198,L6J,465,180,645
199,L6K,161,108,269
200,L6L,412,149,561
201,L6M,799,283,1082
202,L6P,697,129,826
203,L6R,409,107,516
204,L6S,164,85,249
205,L6T,117,85,202
206,L6V,106,57,163
207,L6W,79,53,132
208,L6X,408,95,503
209,L6Y,582,147,729
210,L6Z,114,57,171
211,L7A,459,134,593
212,L7B,308,67,375
213,L7C,392,104,496
214,L7E,229,84,313
215,L7G,330,144,474
216,L7H,1,,1
217,L7J,81,42,123
218,L7K,78,26,104
219,L7L,375,196,571
