_id,FSA,BEV,PHEV,TotalEV
265,M1L,62,28,90
266,M1M,78,34,112
267,M1N,83,57,140
268,M1P,74,34,108
269,M1R,52,27,79
270,M1S,94,42,136
271,M1T,57,25,82
272,M1V,107,45,152
273,M1W,92,43,135
274,M1X,58,18,76
275,M2B,1,,1
276,M2H,86,40,126
277,M2J,218,91,309
278,M2K,118,50,168
279,M2L,151,46,197
280,M2M,139,46,185
281,M2N,407,186,593
282,M2P,99,25,124
283,M2R,68,50,118
284,M3A,209,39,248
285,M3B,191,58,249
286,M3C,114,36,150
287,M3H,152,58,210
288,M3J,88,28,116
289,M3K,25,8,33
290,M3L,26,6,32
291,M3M,19,11,30
292,M3N,25,13,38
293,M3R,,1,1
294,M4A,28,12,40
295,M4B,59,29,88
296,M4C,90,66,156
297,M4E,128,82,210
298,M4G,195,81,276
299,M4H,13,8,21
300,M4J,116,56,172
301,M4K,111,66,177
302,M4L,128,79,207
303,M4M,112,72,184
304,M4N,199,79,278
305,M4P,99,46,145
306,M4R,94,50,144
307,M4S,186,38,224
308,M4T,92,40,132
309,M4V,169,59,228
310,M4W,160,64,224
311,M4X,32,8,40
312,M4Y,76,26,102
313,M5A,170,58,228
314,M5B,29,17,46
315,M5C,21,8,29
316,M5E,62,15,77
317,M5G,45,41,86
318,M5H,58,19,77
319,M5J,81,33,114
320,M5K,4,1,5
321,M5L,4,,4
322,M5M,254,109,363
323,M5N,116,53,169
324,M5P,180,66,246
325,M5R,171,66,237
326,M5S,57,28,85
327,M5T,36,21,57
328,M5V,358,63,421
329,M5X,2,2,4
330,M6A,46,22,68
331,M6B,84,38,122
332,M6C,134,51,185
333,M6E,71,28,99
334,M6G,106,53,159
335,M6H,86,47,133
336,M6J,126,39,165
337,M6K,120,45,165
338,M6L,23,13,36
339,M6M,38,28,66
340,M6N,50,41,91
341,M6P,108,84,192
342,M6R,76,64,140
343,M6S,187,106,293
344,M6X,1,,1
345,M6Y,1,,1
346,M6Z,1,,1
347,M8B,2,,2
348,M8V,196,77,273
349,M8W,95,43,138
350,M8X,118,48,166
351,M8Y,134,50,184
352,M8Z,177,97,274
353,M9A,216,106,322
354,M9B,190,77,267
355,M9C,109,57,166
356,M9L,30,16,46
357,M9M,30,10,40
358,M9N,40,27,67
359,M9P,51,16,67
360,M9R,50,21,71
361,M9V,74,37,111
362,M9W,467,42,509
363,N0A,76,44,120
364,N0B,518,261,779
365,N0C,44,22,66
366,N0E,64,50,114
367,N0G,145,98,243
368,N0H,173,114,287
369,N0J,66,46,112
370,N0K,27,20,47
371,N0L,149,98,247
372,N0M,149,95,244
373,N0N,55,49,104
374,N0P,73,56,129
375,N0R,128,125,253
376,N1A,27,10,37
377,N1C,13,20,33
378,N1E,155,97,252
379,N1G,126,79,205
380,N1H,146,95,241
381,N1K,38,20,58
382,N1L,122,60,182
383,N1M,56,39,95
384,N1P,25,14,39
385,N1R,105,59,164
386,N1S,78,36,114
387,N1T,94,40,134
388,N2A,127,64,191
389,N2B,60,27,87
390,N2C,37,22,59
391,N2E,103,44,147
392,N2G,67,25,92
393,N2H,102,50,152
394,N2J,95,34,129
395,N2K,211,95,306
396,N2L,164,83,247
397,N2M,102,55,157
398,N2N,64,57,121
399,N2P,163,65,228
400,N2R,104,39,143
401,N2S,1,,1
402,N2T,128,66,194
403,N2V,118,78,196
404,N2Z,42,31,73
405,N3A,90,64,154
406,N3B,38,18,56
407,N3C,133,74,207
408,N3E,21,6,27
409,N3G,1,,1
410,N3H,72,34,106
411,N3L,77,45,122
412,N3M,1,,1
413,N3P,12,17,29
414,N3R,76,59,135
415,N3S,39,30,69
416,N3T,130,69,199
417,N3V,5,2,7
418,N3W,52,29,81
419,N3Y,37,27,64
420,N4B,11,7,18
421,N4G,37,32,69
422,N4K,76,68,144
423,N4L,15,13,28
424,N4N,23,11,34
425,N4S,68,51,119
